Strain,Strain_rate,Stress,Temperature
116.394,0.01,0.76091,1273.15
115.988,0.01,0.76294,1273.15
115.914,0.01,0.76511,1273.15
115.778,0.01,0.76689,1273.15
115.488,0.01,0.76907,1273.15
115.296,0.01,0.77109,1273.15
115.564,0.01,0.77266,1273.15
115.344,0.01,0.77486,1273.15
115.59,0.01,0.77708,1273.15
115.558,0.01,0.77895,1273.15
115.344,0.01,0.78113,1273.15
115.064,0.01,0.78322,1273.15
115.602,0.01,0.78482,1273.15
115.388,0.01,0.78696,1273.15
115.39,0.01,0.78886,1273.15
114.554,0.01,0.79118,1273.15
115.136,0.01,0.79297,1273.15
114.724,0.01,0.795,1273.15
114.418,0.01,0.79702,1273.15
114.534,0.01,0.7991,1273.15
114.46,0.01,0.80112,1273.15
114.896,0.01,0.80321,1273.15
114.562,0.01,0.80523,1273.15
113.864,0.01,0.80712,1273.15
114.596,0.01,0.80926,1273.15
114.5,0.01,0.81077,1273.15
114.124,0.01,0.81273,1273.15
114.162,0.01,0.81484,1273.15
113.656,0.01,0.8168,1273.15
113.686,0.01,0.81926,1273.15
114.086,0.01,0.82084,1273.15
113.754,0.01,0.8232,1273.15
114.09,0.01,0.82491,1273.15
113.586,0.01,0.82681,1273.15
114.176,0.01,0.82897,1273.15
113.79,0.01,0.83097,1273.15
113.506,0.01,0.83294,1273.15
113.572,0.01,0.83503,1273.15
113.242,0.01,0.837,1273.15
113.634,0.01,0.83904,1273.15
113.344,0.01,0.84102,1273.15
113.198,0.01,0.84301,1273.15
113.214,0.01,0.84494,1273.15
113.472,0.01,0.84703,1273.15
113.464,0.01,0.849,1273.15
113.606,0.01,0.85113,1273.15
112.846,0.01,0.85301,1273.15
113.188,0.01,0.85505,1273.15
112.958,0.01,0.85694,1273.15
113.544,0.01,0.85919,1273.15
112.976,0.01,0.86107,1273.15
112.956,0.01,0.86309,1273.15
112.934,0.01,0.86514,1273.15
112.88,0.01,0.86707,1273.15
112.738,0.01,0.86908,1273.15
112.924,0.01,0.8711,1273.15
112.924,0.01,0.87312,1273.15
112.758,0.01,0.87511,1273.15
112.798,0.01,0.87707,1273.15
112.722,0.01,0.87916,1273.15
112.26,0.01,0.88113,1273.15
112.444,0.01,0.88308,1273.15
112.524,0.01,0.88513,1273.15
111.954,0.01,0.88698,1273.15
112.49,0.01,0.88905,1273.15
112.814,0.01,0.89114,1273.15
112.2,0.01,0.89314,1273.15
112.356,0.01,0.89505,1273.15
112.002,0.01,0.897,1273.15
112.134,0.01,0.8988,1273.15
112.218,0.01,0.90117,1273.15
112.236,0.01,0.90284,1273.15
112.082,0.01,0.90494,1273.15
112.274,0.01,0.907,1273.15
111.984,0.01,0.90903,1273.15
112.262,0.01,0.91111,1273.15
111.57,0.01,0.91228,1273.15
15.87912,0.01,0.00129,1323.15
21.6026,0.01,0.00242,1323.15
36.7412,0.01,0.00576,1323.15
45.0502,0.01,0.00698,1323.15
59.1,0.01,0.00877,1323.15
75.7738,0.01,0.01081,1323.15
90.8554,0.01,0.0132,1323.15
92.9278,0.01,0.01514,1323.15
88.6596,0.01,0.01687,1323.15
85.451,0.01,0.01897,1323.15
83.5694,0.01,0.02089,1323.15
84.4582,0.01,0.02281,1323.15
85.6788,0.01,0.02523,1323.15
86.9164,0.01,0.02722,1323.15
87.7302,0.01,0.0288,1323.15
88.4946,0.01,0.03124,1323.15
89.4748,0.01,0.03283,1323.15
89.3524,0.01,0.03487,1323.15
89.4252,0.01,0.03683,1323.15
89.7828,0.01,0.03885,1323.15
89.963,0.01,0.04086,1323.15
89.764,0.01,0.0428,1323.15
90.0712,0.01,0.04489,1323.15
89.4254,0.01,0.04715,1323.15
91.0468,0.01,0.04873,1323.15
91.365,0.01,0.05093,1323.15
90.8436,0.01,0.05296,1323.15
90.983,0.01,0.05488,1323.15
91.7882,0.01,0.05697,1323.15
91.9224,0.01,0.05894,1323.15
92.3322,0.01,0.0609,1323.15
92.5882,0.01,0.06283,1323.15
93.8948,0.01,0.06494,1323.15
93.841,0.01,0.06695,1323.15
94.9324,0.01,0.06899,1323.15
94.1156,0.01,0.07097,1323.15
94.5114,0.01,0.07286,1323.15
95.801,0.01,0.07485,1323.15
