,Strain,Strain_rate,Stress,Temperature,A_opt,alpha_opt,n_opt,Q_act_opt,sigma_pred,error,ln_A,Q_RT,ln_Strain_rate,abs_error
1580,0.12707,0.01,429.602,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,4.84288916704844,46.249200184787135,52.58396355272742,-4.605170185988091,4.84288916704844
1581,0.12898,0.01,428.672,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,3.9128891670484895,46.249200184787135,52.58396355272742,-4.605170185988091,3.9128891670484895
1582,0.13105,0.01,429.706,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,4.946889167048482,46.249200184787135,52.58396355272742,-4.605170185988091,4.946889167048482
1583,0.13304,0.01,428.51,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,3.750889167048456,46.249200184787135,52.58396355272742,-4.605170185988091,3.750889167048456
1584,0.13506,0.01,427.262,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,2.502889167048465,46.249200184787135,52.58396355272742,-4.605170185988091,2.502889167048465
1585,0.13696,0.01,425.678,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,0.9188891670484622,46.249200184787135,52.58396355272742,-4.605170185988091,0.9188891670484622
1586,0.139,0.01,427.686,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,2.926889167048444,46.249200184787135,52.58396355272742,-4.605170185988091,2.926889167048444
1587,0.14111,0.01,427.88,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,3.1208891670484604,46.249200184787135,52.58396355272742,-4.605170185988091,3.1208891670484604
1588,0.14306,0.01,425.168,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,0.4088891670484713,46.249200184787135,52.58396355272742,-4.605170185988091,0.4088891670484713
1589,0.1451,0.01,424.534,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,-0.2251108329515432,46.249200184787135,52.58396355272742,-4.605170185988091,0.2251108329515432
1590,0.14695,0.01,423.242,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,-1.5171108329515164,46.249200184787135,52.58396355272742,-4.605170185988091,1.5171108329515164
