Strain,Strain_rate,Stress,Temperature
0.60939,0.5,272.486,1273.15
0.27114,1.0,354.874,1223.15
0.55298,0.5,253.742,1293.15
0.51477,0.01,100.467,1323.15
0.56282,0.5,199.48,1373.15
0.59491,0.01,292.794,1123.15
0.17913,0.5,156.882,1423.15
0.62324,0.5,329.342,1223.15
0.70117,1.0,437.542,1073.15
0.42524,0.1,369.144,1173.15
0.50492,0.5,199.496,1373.15
0.19514,0.01,187.994,1223.15
0.50112,0.5,334.644,1223.15
0.58084,0.01,269.208,1173.15
0.56298,1.0,208.448,1373.15
0.6589,0.1,112.238,1423.15
0.34905,0.1,124.226,1423.15
0.29501,0.5,294.392,1273.15
0.24304,0.5,448.9,1173.15
0.551,0.1,144.808,1323.15
0.63528,0.5,251.188,1293.15
0.41702,0.5,261.448,1293.15
0.25321,0.01,312.214,1173.15
0.725,0.5,195.836,1373.15
0.66704,0.01,74.0716,1373.15
0.67915,0.1,137.934,1323.15
0.86317,0.01,86.0244,1323.15
0.30102,0.5,192.722,1373.15
0.70277,1.0,270.064,1273.15
0.65495,1.0,445.554,1073.15
0.17486,0.5,460.544,1173.15
0.66903,1.0,170.532,1423.15
0.63736,0.1,112.544,1423.15
0.30683,0.01,185.734,1223.15
0.27096,0.5,266.482,1293.15
0.58522,1.0,463.186,1073.15
0.74883,0.01,116.2,1273.15
0.79703,0.1,134.072,1323.15
0.46296,1.0,174.896,1423.15
0.57695,0.5,163.202,1423.15
0.6389,0.1,332.296,1173.15
0.18493,0.5,570.898,1123.15
0.25086,1.0,355.844,1223.15
0.4609,1.0,242.242,1323.15
0.42101,0.5,165.76,1423.15
0.57275,0.1,144.808,1323.15
0.15672,0.1,247.474,1223.15
0.19681,0.5,455.81,1173.15
0.66092,0.5,230.664,1323.15
0.72116,0.5,273.45,1273.15
0.73884,1.0,388.462,1173.15
0.29483,0.1,404.03,1173.15
0.78292,0.1,321.34,1173.15
0.49463,0.1,246.606,1223.15
0.22525,0.1,174.026,1273.15
0.63267,0.5,251.582,1293.15
0.70324,0.01,117.652,1273.15
0.1509,1.0,351.612,1223.15
0.25673,0.1,126.178,1423.15
0.44315,0.1,121.71,1423.15
0.83692,0.5,372.824,1173.15
0.55489,0.5,232.83,1323.15
0.22717,0.01,187.054,1223.15
0.48681,0.1,119.826,1423.15
0.61513,0.01,75.8834,1373.15
0.43287,0.01,291.976,1173.15
0.79287,1.0,308.816,1223.15
0.40719,1.0,243.748,1323.15
0.65106,1.0,203.834,1373.15
0.61089,0.01,264.222,1173.15
0.78309,0.5,373.244,1173.15
0.74107,0.5,253.15,1293.15
0.36082,0.5,292.296,1273.15
0.46509,0.5,166.68,1423.15
0.54712,1.0,239.806,1323.15
0.78104,0.1,321.946,1173.15
0.61129,0.1,475.086,1123.15
0.72881,1.0,313.8,1223.15
0.52115,0.5,255.538,1293.15
0.61107,0.1,113.652,1423.15
0.54094,0.01,274.726,1173.15
0.32095,1.0,241.754,1323.15
0.18489,0.5,338.372,1223.15
0.66689,0.01,158.936,1223.15
0.21505,0.5,564.442,1123.15
0.86898,0.5,462.376,1123.15
0.64693,0.01,119.91,1273.15
0.59687,0.01,61.9092,1423.15
0.55117,0.1,164.856,1273.15
0.7692,0.5,275.15,1273.15
0.30142,0.1,575.382,1123.15
0.14917,0.1,597.396,1123.15
0.48895,0.1,149.208,1323.15
0.53113,1.0,333.618,1223.15
0.54886,1.0,239.66,1323.15
0.12721,0.5,286.162,1273.15
0.7989,1.0,382.706,1173.15
0.89503,0.01,244.556,1173.15
0.35091,0.01,137.864,1273.15
0.8289,0.01,69.064,1373.15
0.44676,1.0,175.056,1423.15
0.8232,0.01,113.754,1273.15
0.28281,0.01,109.62,1323.15
0.48114,0.1,168.534,1273.15
0.15912,0.5,461.498,1173.15
0.21705,0.01,139.258,1273.15
0.55322,0.5,396.74,1173.15
0.3548,1.0,287.34,1273.15
0.15491,0.5,573.174,1123.15
0.40677,0.5,420.108,1173.15
0.19706,0.01,93.0678,1373.15
0.7328,0.01,59.5632,1423.15
0.34095,0.01,303.6,1173.15
0.16691,0.1,250.864,1223.15
0.77723,0.01,151.612,1223.15
0.71059,0.1,138.026,1323.15
0.26691,0.1,176.798,1273.15
0.74677,0.5,228.282,1323.15
0.40921,0.01,68.2982,1423.15
0.68517,0.1,138.598,1323.15
0.15524,0.5,212.96,1323.15
0.74666,0.5,272.194,1273.15
0.22881,0.5,266.478,1293.15
0.87718,0.5,284.918,1273.15
0.55287,0.1,144.078,1323.15
0.25709,0.5,339.626,1223.15
0.70927,0.1,137.336,1323.15
0.76288,0.5,195.586,1373.15
0.25893,0.1,590.15,1123.15
0.79875,0.01,69.9804,1373.15
0.22677,1.0,236.222,1323.15
0.4611,0.5,336.086,1223.15
0.50476,0.5,333.884,1223.15
0.15297,0.01,107.528,1323.15
0.69899,0.01,156.484,1223.15
0.60918,1.0,276.014,1273.15
0.43087,0.5,197.304,1373.15
0.70314,0.01,271.834,1123.15
0.75714,0.01,152.768,1223.15
0.38706,1.0,287.104,1273.15
0.90284,0.1,102.822,1423.15
0.53304,0.5,398.182,1173.15
0.51688,0.01,172.654,1223.15
0.28884,0.01,186.794,1223.15
0.57094,1.0,276.84,1273.15
0.68677,0.01,91.6986,1323.15
0.45707,1.0,242.132,1323.15
0.77688,1.0,265.992,1273.15
0.621,0.5,466.05,1123.15
0.50544,0.5,168.048,1423.15
0.31885,0.01,185.416,1223.15
0.27877,0.01,310.066,1173.15
0.7492,1.0,200.514,1373.15
0.7131,0.01,269.99,1123.15
0.371,0.5,427.596,1173.15
0.88309,0.01,248.542,1123.15
0.58319,0.5,252.954,1293.15
0.54681,0.01,98.5584,1323.15
0.26304,0.5,266.038,1293.15
0.88113,0.01,112.26,1273.15
0.43483,0.5,506.594,1123.15
0.72105,0.5,325.302,1223.15
0.2285,0.1,125.522,1423.15
